category,city,year,sales_amount,sales_amount_sum,sales_amount_mean,sales_amount_count,days_since_join_first,time_since_join_first
clothing,atlanta,2021,1667.72,1667.72,1667.72,1,1778,4 year(s) and 10 month(s)
clothing,atlanta,2021,1867.86,1867.86,1867.86,1,1442,3 year(s) and 11 month(s)
clothing,atlanta,2021,1973.4,1973.4,1973.4,1,1634,4 year(s) and 5 month(s)
clothing,atlanta,2021,2223.62,2223.62,2223.62,1,1448,3 year(s) and 11 month(s)
clothing,atlanta,2022,207.58,207.58,207.58,1,1392,3 year(s) and 9 month(s)
clothing,atlanta,2022,223.7,223.7,223.7,1,1334,3 year(s) and 7 month(s)
clothing,atlanta,2022,281.85,281.85,281.85,1,1175,3 year(s) and 2 month(s)
clothing,atlanta,2022,346.66,346.66,346.66,1,1289,3 year(s) and 6 month(s)
clothing,atlanta,2022,493.35,493.35,493.35,1,1235,3 year(s) and 4 month(s)
clothing,atlanta,2022,599.76,599.76,599.76,1,1310,3 year(s) and 7 month(s)
clothing,atlanta,2022,676.49,1352.98,676.49,2,1348,3 year(s) and 8 month(s)
clothing,atlanta,2022,709.35,709.35,709.35,1,1184,3 year(s) and 2 month(s)
clothing,atlanta,2022,792.0,792.0,792.0,1,1109,3 year(s) and 0 month(s)
clothing,atlanta,2022,888.03,888.03,888.03,1,1407,3 year(s) and 10 month(s)
clothing,atlanta,2022,1114.85,1114.85,1114.85,1,1392,3 year(s) and 9 month(s)
clothing,atlanta,2022,1187.1,1187.1,1187.1,1,1235,3 year(s) and 4 month(s)
clothing,atlanta,2022,1237.05,1237.05,1237.05,1,1319,3 year(s) and 7 month(s)
clothing,atlanta,2022,1386.65,1386.65,1386.65,1,1079,2 year(s) and 11 month(s)
clothing,atlanta,2022,1480.05,1480.05,1480.05,1,1289,3 year(s) and 6 month(s)
clothing,atlanta,2022,1494.29,1494.29,1494.29,1,1248,3 year(s) and 5 month(s)
clothing,atlanta,2022,1667.72,1667.72,1667.72,1,1310,3 year(s) and 7 month(s)
clothing,atlanta,2022,1981.95,1981.95,1981.95,1,1136,3 year(s) and 1 month(s)
clothing,atlanta,2022,2238.66,2238.66,2238.66,1,1289,3 year(s) and 6 month(s)
clothing,atlanta,2022,2686.39,2686.39,2686.39,1,1079,2 year(s) and 11 month(s)
clothing,atlanta,2022,3374.85,3374.85,3374.85,1,1163,3 year(s) and 2 month(s)
clothing,atlanta,2022,3546.75,3546.75,3546.75,1,1220,3 year(s) and 4 month(s)
clothing,atlanta,2022,4210.5,4210.5,4210.5,1,1319,3 year(s) and 7 month(s)
clothing,atlanta,2023,34.18,34.18,34.18,1,841,2 year(s) and 3 month(s)
clothing,atlanta,2023,109.38,109.38,109.38,1,708,1 year(s) and 11 month(s)
clothing,atlanta,2023,140.11,140.11,140.11,1,798,2 year(s) and 2 month(s)
clothing,atlanta,2023,198.0,198.0,198.0,1,817,2 year(s) and 2 month(s)
clothing,atlanta,2023,223.7,223.7,223.7,1,1062,2 year(s) and 11 month(s)
clothing,atlanta,2023,251.66,251.66,251.66,1,820,2 year(s) and 3 month(s)
clothing,atlanta,2023,279.62,279.62,279.62,1,907,2 year(s) and 5 month(s)
clothing,atlanta,2023,338.25,338.25,338.25,1,926,2 year(s) and 6 month(s)
clothing,atlanta,2023,409.74,409.74,409.74,1,935,2 year(s) and 6 month(s)
clothing,atlanta,2023,477.96,477.96,477.96,1,763,2 year(s) and 1 month(s)
clothing,atlanta,2023,594.0,594.0,594.0,1,1032,2 year(s) and 10 month(s)
clothing,atlanta,2023,926.51,926.51,926.51,1,745,2 year(s) and 0 month(s)
clothing,atlanta,2023,933.93,933.93,933.93,1,935,2 year(s) and 6 month(s)
clothing,atlanta,2023,955.92,955.92,955.92,1,763,2 year(s) and 1 month(s)
clothing,atlanta,2023,986.7,986.7,986.7,1,779,2 year(s) and 1 month(s)
clothing,atlanta,2023,1032.12,1032.12,1032.12,1,785,2 year(s) and 1 month(s)
clothing,atlanta,2023,1258.29,1258.29,1258.29,1,726,1 year(s) and 12 month(s)
clothing,atlanta,2023,1562.3,1562.3,1562.3,1,820,2 year(s) and 3 month(s)
clothing,atlanta,2023,1619.93,1619.93,1619.93,1,1008,2 year(s) and 9 month(s)
clothing,atlanta,2023,1638.96,1638.96,1638.96,1,965,2 year(s) and 7 month(s)
clothing,atlanta,2023,1925.9,1925.9,1925.9,1,898,2 year(s) and 5 month(s)
clothing,atlanta,2023,2223.62,2223.62,2223.62,1,956,2 year(s) and 7 month(s)
clothing,atlanta,2023,3037.36,3037.36,3037.36,1,1008,2 year(s) and 9 month(s)
clothing,atlanta,2023,3335.44,3335.44,3335.44,1,967,2 year(s) and 7 month(s)
clothing,atlanta,2023,3735.72,3735.72,3735.72,1,931,2 year(s) and 6 month(s)
clothing,atlanta,2024,412.85,412.85,412.85,1,646,1 year(s) and 9 month(s)
clothing,atlanta,2024,477.96,477.96,477.96,1,640,1 year(s) and 9 month(s)
clothing,atlanta,2024,563.7,563.7,563.7,1,662,1 year(s) and 9 month(s)
clothing,atlanta,2024,673.68,673.68,673.68,1,658,1 year(s) and 9 month(s)
clothing,atlanta,2024,747.14,747.14,747.14,1,580,1 year(s) and 7 month(s)
clothing,atlanta,2024,845.55,845.55,845.55,1,652,1 year(s) and 9 month(s)
clothing,atlanta,2024,2254.98,2254.98,2254.98,1,580,1 year(s) and 7 month(s)
clothing,chicago,2020,159.32,159.32,159.32,1,1958,5 year(s) and 4 month(s)
clothing,chicago,2020,281.85,281.85,281.85,1,1886,5 year(s) and 2 month(s)
clothing,chicago,2020,495.49,495.49,495.49,1,1915,5 year(s) and 3 month(s)
clothing,chicago,2020,516.06,516.06,516.06,1,2006,5 year(s) and 6 month(s)
clothing,chicago,2020,637.28,637.28,637.28,1,2029,5 year(s) and 6 month(s)
clothing,chicago,2020,926.51,926.51,926.51,1,2029,5 year(s) and 6 month(s)
clothing,chicago,2020,990.98,990.98,990.98,1,1958,5 year(s) and 4 month(s)
clothing,chicago,2020,1155.54,1155.54,1155.54,1,1822,4 year(s) and 12 month(s)
clothing,chicago,2020,1578.72,1578.72,1578.72,1,1854,5 year(s) and 0 month(s)
clothing,chicago,2020,1638.96,1638.96,1638.96,1,2006,5 year(s) and 6 month(s)
clothing,chicago,2020,2343.46,2343.46,2343.46,1,1827,5 year(s) and 0 month(s)
clothing,chicago,2021,61.52,61.52,61.52,1,1442,3 year(s) and 11 month(s)
clothing,chicago,2021,233.52,233.52,233.52,1,1580,4 year(s) and 4 month(s)
clothing,chicago,2021,311.36,311.36,311.36,1,1642,4 year(s) and 6 month(s)
clothing,chicago,2021,375.83,375.83,375.83,1,1751,4 year(s) and 9 month(s)
clothing,chicago,2021,385.18,385.18,385.18,1,1433,3 year(s) and 11 month(s)
clothing,chicago,2021,444.02,444.02,444.02,1,1497,4 year(s) and 1 month(s)
clothing,chicago,2021,557.42,557.42,557.42,1,1469,4 year(s) and 0 month(s)
clothing,chicago,2021,671.09,671.09,671.09,1,1661,4 year(s) and 6 month(s)
clothing,chicago,2021,725.46,725.46,725.46,1,1655,4 year(s) and 6 month(s)
clothing,chicago,2021,933.93,933.93,933.93,1,1700,4 year(s) and 8 month(s)
clothing,chicago,2021,1127.49,1127.49,1127.49,1,1504,4 year(s) and 1 month(s)
clothing,chicago,2021,1214.95,1214.95,1214.95,1,1751,4 year(s) and 9 month(s)
clothing,chicago,2021,1289.71,1289.71,1289.71,1,1504,4 year(s) and 1 month(s)
clothing,chicago,2021,1667.72,1667.72,1667.72,1,1590,4 year(s) and 4 month(s)
clothing,chicago,2021,1853.02,1853.02,1853.02,1,1438,3 year(s) and 11 month(s)
clothing,chicago,2021,1858.08,1858.08,1858.08,1,1504,4 year(s) and 1 month(s)
clothing,chicago,2021,2223.62,2223.62,2223.62,1,1612,4 year(s) and 5 month(s)
clothing,chicago,2021,2638.0,2638.0,2638.0,1,1443,3 year(s) and 11 month(s)
clothing,chicago,2021,3706.04,3706.04,3706.04,1,1579,4 year(s) and 3 month(s)
clothing,chicago,2021,3905.76,3905.76,3905.76,1,1499,4 year(s) and 1 month(s)
clothing,chicago,2022,62.27,62.27,62.27,1,1345,3 year(s) and 8 month(s)
clothing,chicago,2022,124.54,124.54,124.54,1,1227,3 year(s) and 4 month(s)
clothing,chicago,2022,373.64,747.28,373.64,2,1248,3 year(s) and 5 month(s)
clothing,chicago,2022,385.18,385.18,385.18,1,1334,3 year(s) and 7 month(s)
clothing,chicago,2022,493.35,493.35,493.35,1,1136,3 year(s) and 1 month(s)
clothing,chicago,2022,516.06,516.06,516.06,1,1148,3 year(s) and 1 month(s)
clothing,chicago,2022,539.98,539.98,539.98,1,1123,3 year(s) and 0 month(s)
clothing,chicago,2022,601.33,1202.66,601.33,2,1310,3 year(s) and 7 month(s)
clothing,chicago,2022,709.35,709.35,709.35,1,1407,3 year(s) and 10 month(s)
clothing,chicago,2022,830.32,830.32,830.32,1,1123,3 year(s) and 0 month(s)
clothing,chicago,2022,842.1,842.1,842.1,1,1197,3 year(s) and 3 month(s)
clothing,chicago,2022,901.92,901.92,901.92,1,1095,3 year(s) and 0 month(s)
clothing,chicago,2022,990.98,990.98,990.98,1,1350,3 year(s) and 8 month(s)
clothing,chicago,2022,1127.49,1127.49,1127.49,1,1235,3 year(s) and 4 month(s)
clothing,chicago,2022,1155.54,1155.54,1155.54,1,1334,3 year(s) and 7 month(s)
clothing,chicago,2022,1853.02,1853.02,1853.02,1,1148,3 year(s) and 1 month(s)
clothing,chicago,2022,2223.62,2223.62,2223.62,1,1173,3 year(s) and 2 month(s)
clothing,chicago,2022,2273.67,2273.67,2273.67,1,1289,3 year(s) and 6 month(s)
clothing,chicago,2022,2964.83,2964.83,2964.83,1,1407,3 year(s) and 10 month(s)
clothing,chicago,2022,4049.82,4049.82,4049.82,1,1355,3 year(s) and 8 month(s)
clothing,chicago,2023,30.76,30.76,30.76,1,957,2 year(s) and 7 month(s)
clothing,chicago,2023,53.05,53.05,53.05,1,764,2 year(s) and 1 month(s)
clothing,chicago,2023,210.17,210.17,210.17,1,924,2 year(s) and 6 month(s)
clothing,chicago,2023,319.87,319.87,319.87,1,798,2 year(s) and 2 month(s)
clothing,chicago,2023,544.88,544.88,544.88,1,967,2 year(s) and 7 month(s)
clothing,chicago,2023,659.76,659.76,659.76,1,779,2 year(s) and 1 month(s)
clothing,chicago,2023,673.68,673.68,673.68,1,997,2 year(s) and 8 month(s)
clothing,chicago,2023,719.71,719.71,719.71,1,1035,2 year(s) and 10 month(s)
clothing,chicago,2023,747.14,747.14,747.14,1,798,2 year(s) and 2 month(s)
clothing,chicago,2023,799.68,799.68,799.68,1,855,2 year(s) and 4 month(s)
clothing,chicago,2023,845.55,845.55,845.55,1,946,2 year(s) and 7 month(s)
clothing,chicago,2023,924.43,924.43,924.43,1,1007,2 year(s) and 9 month(s)
clothing,chicago,2023,926.51,1853.02,926.51,2,814,2 year(s) and 2 month(s)
clothing,chicago,2023,928.91,928.91,928.91,1,997,2 year(s) and 8 month(s)
clothing,chicago,2023,933.93,933.93,933.93,1,764,2 year(s) and 1 month(s)
clothing,chicago,2023,1193.95,1193.95,1193.95,1,967,2 year(s) and 7 month(s)
clothing,chicago,2023,1276.83,1276.83,1276.83,1,931,2 year(s) and 6 month(s)
clothing,chicago,2023,1879.15,3758.3,1879.15,2,833,2 year(s) and 3 month(s)
clothing,chicago,2023,1952.88,1952.88,1952.88,1,935,2 year(s) and 6 month(s)
clothing,chicago,2023,2238.66,2238.66,2238.66,1,907,2 year(s) and 5 month(s)
clothing,chicago,2023,3096.8,3096.8,3096.8,1,833,2 year(s) and 3 month(s)
clothing,chicago,2023,3297.5,3297.5,3297.5,1,760,2 year(s) and 1 month(s)
clothing,chicago,2024,136.72,136.72,136.72,1,692,1 year(s) and 10 month(s)
clothing,chicago,2024,198.93,198.93,198.93,1,692,1 year(s) and 10 month(s)
clothing,chicago,2024,596.98,596.98,596.98,1,590,1 year(s) and 7 month(s)
clothing,chicago,2024,737.53,737.53,737.53,1,580,1 year(s) and 7 month(s)
clothing,chicago,2024,1127.4,1127.4,1127.4,1,604,1 year(s) and 7 month(s)
clothing,chicago,2024,1347.36,1347.36,1347.36,1,646,1 year(s) and 9 month(s)
clothing,chicago,2024,1619.93,1619.93,1619.93,1,597,1 year(s) and 7 month(s)
clothing,chicago,2024,2984.88,2984.88,2984.88,1,640,1 year(s) and 9 month(s)
clothing,los angelos,2020,53.05,53.05,53.05,1,1957,5 year(s) and 4 month(s)
clothing,los angelos,2020,62.27,62.27,62.27,1,2022,5 year(s) and 6 month(s)
clothing,los angelos,2020,102.54,102.54,102.54,1,1887,5 year(s) and 2 month(s)
clothing,los angelos,2020,207.58,207.58,207.58,1,1889,5 year(s) and 2 month(s)
clothing,los angelos,2020,346.66,346.66,346.66,1,1857,5 year(s) and 1 month(s)
clothing,los angelos,2020,464.45,464.45,464.45,1,1885,5 year(s) and 2 month(s)
clothing,los angelos,2020,493.35,493.35,493.35,1,1985,5 year(s) and 5 month(s)
clothing,los angelos,2020,503.32,503.32,503.32,1,2034,5 year(s) and 6 month(s)
clothing,los angelos,2020,557.42,557.42,557.42,1,1929,5 year(s) and 3 month(s)
clothing,los angelos,2020,567.48,567.48,567.48,1,1959,5 year(s) and 4 month(s)
clothing,los angelos,2020,637.28,637.28,637.28,1,1959,5 year(s) and 4 month(s)
clothing,los angelos,2020,789.36,789.36,789.36,1,2004,5 year(s) and 5 month(s)
clothing,los angelos,2020,1037.9,1037.9,1037.9,1,2034,5 year(s) and 6 month(s)
clothing,los angelos,2020,1127.4,1127.4,1127.4,1,1844,5 year(s) and 0 month(s)
clothing,los angelos,2020,1193.95,1193.95,1193.95,1,1822,4 year(s) and 12 month(s)
clothing,los angelos,2020,1237.05,1237.05,1237.05,1,1889,5 year(s) and 2 month(s)
clothing,los angelos,2020,1343.2,1343.2,1343.2,1,1883,5 year(s) and 1 month(s)
clothing,los angelos,2020,1450.93,1450.93,1450.93,1,2005,5 year(s) and 6 month(s)
clothing,los angelos,2020,1482.42,1482.42,1482.42,1,1942,5 year(s) and 3 month(s)
clothing,los angelos,2020,1667.72,1667.72,1667.72,1,1887,5 year(s) and 2 month(s)
clothing,los angelos,2020,1858.08,1858.08,1858.08,1,2029,5 year(s) and 6 month(s)
clothing,los angelos,2020,2273.67,2273.67,2273.67,1,1801,4 year(s) and 11 month(s)
clothing,los angelos,2020,2466.75,4933.5,2466.75,2,1905,5 year(s) and 2 month(s)
clothing,los angelos,2020,2580.3,2580.3,2580.3,1,1854,5 year(s) and 0 month(s)
clothing,los angelos,2021,119.36,238.72,119.36,2,1499,4 year(s) and 1 month(s)
clothing,los angelos,2021,186.82,186.82,186.82,1,1648,4 year(s) and 6 month(s)
clothing,los angelos,2021,371.12,371.12,371.12,1,1469,4 year(s) and 0 month(s)
clothing,los angelos,2021,389.2,389.2,389.2,1,1593,4 year(s) and 4 month(s)
clothing,los angelos,2021,412.35,412.35,412.35,1,1563,4 year(s) and 3 month(s)
clothing,los angelos,2021,560.47,560.47,560.47,1,1443,3 year(s) and 11 month(s)
clothing,los angelos,2021,633.6,633.6,633.6,1,1642,4 year(s) and 6 month(s)
clothing,los angelos,2021,747.14,747.14,747.14,1,1634,4 year(s) and 5 month(s)
clothing,los angelos,2021,757.89,757.89,757.89,1,1612,4 year(s) and 5 month(s)
clothing,los angelos,2021,990.0,990.0,990.0,1,1468,4 year(s) and 0 month(s)
clothing,los angelos,2021,1492.44,2984.88,1492.44,2,1642,4 year(s) and 6 month(s)
clothing,los angelos,2021,1822.42,1822.42,1822.42,1,1648,4 year(s) and 6 month(s)
clothing,los angelos,2021,2128.05,2128.05,2128.05,1,1590,4 year(s) and 4 month(s)
clothing,los angelos,2021,3031.56,3031.56,3031.56,1,1655,4 year(s) and 6 month(s)
clothing,los angelos,2021,4836.42,4836.42,4836.42,1,1602,4 year(s) and 4 month(s)
clothing,los angelos,2022,30.76,30.76,30.76,1,1079,2 year(s) and 11 month(s)
clothing,los angelos,2022,34.18,34.18,34.18,1,1184,3 year(s) and 2 month(s)
clothing,los angelos,2022,54.69,54.69,54.69,1,1227,3 year(s) and 4 month(s)
clothing,los angelos,2022,166.06,166.06,166.06,1,1323,3 year(s) and 7 month(s)
clothing,los angelos,2022,332.13,332.13,332.13,1,1407,3 year(s) and 10 month(s)
clothing,los angelos,2022,412.35,412.35,412.35,1,1220,3 year(s) and 4 month(s)
clothing,los angelos,2022,493.35,493.35,493.35,1,1334,3 year(s) and 7 month(s)
clothing,los angelos,2022,495.49,495.49,495.49,1,1334,3 year(s) and 7 month(s)
clothing,los angelos,2022,503.32,503.32,503.32,1,1151,3 year(s) and 1 month(s)
clothing,los angelos,2022,557.42,557.42,557.42,1,1227,3 year(s) and 4 month(s)
clothing,los angelos,2022,559.24,559.24,559.24,1,1350,3 year(s) and 8 month(s)
clothing,los angelos,2022,659.5,1319.0,659.5,2,1355,3 year(s) and 8 month(s)
clothing,los angelos,2022,671.09,671.09,671.09,1,1357,3 year(s) and 8 month(s)
clothing,los angelos,2022,933.93,933.93,933.93,1,1235,3 year(s) and 4 month(s)
clothing,los angelos,2022,990.0,990.0,990.0,1,1405,3 year(s) and 10 month(s)
clothing,los angelos,2022,1014.74,1014.74,1014.74,1,1336,3 year(s) and 8 month(s)
clothing,los angelos,2022,1238.72,1238.72,1238.72,1,1334,3 year(s) and 7 month(s)
clothing,los angelos,2022,1486.46,1486.46,1486.46,1,1173,3 year(s) and 2 month(s)
clothing,los angelos,2022,1548.18,1548.18,1548.18,1,1169,3 year(s) and 2 month(s)
clothing,los angelos,2022,1562.3,1562.3,1562.3,1,1229,3 year(s) and 4 month(s)
clothing,los angelos,2022,2061.75,2061.75,2061.75,1,1169,3 year(s) and 2 month(s)
clothing,los angelos,2022,2176.39,2176.39,2176.39,1,1079,2 year(s) and 11 month(s)
clothing,los angelos,2022,2273.67,2273.67,2273.67,1,1095,3 year(s) and 0 month(s)
clothing,los angelos,2022,2477.44,2477.44,2477.44,1,1110,3 year(s) and 0 month(s)
clothing,los angelos,2023,53.05,53.05,53.05,1,808,2 year(s) and 2 month(s)
clothing,los angelos,2023,66.31,66.31,66.31,1,834,2 year(s) and 3 month(s)
clothing,los angelos,2023,70.06,70.06,70.06,1,841,2 year(s) and 3 month(s)
clothing,los angelos,2023,155.68,155.68,155.68,1,997,2 year(s) and 8 month(s)
clothing,los angelos,2023,265.24,265.24,265.24,1,973,2 year(s) and 8 month(s)
clothing,los angelos,2023,318.64,637.28,318.64,2,1062,2 year(s) and 11 month(s)
clothing,los angelos,2023,373.64,747.28,373.64,2,1007,2 year(s) and 9 month(s)
clothing,los angelos,2023,527.6,527.6,527.6,1,726,1 year(s) and 12 month(s)
clothing,los angelos,2023,593.55,593.55,593.55,1,851,2 year(s) and 4 month(s)
clothing,los angelos,2023,842.1,842.1,842.1,1,851,2 year(s) and 4 month(s)
clothing,los angelos,2023,888.03,888.03,888.03,1,760,2 year(s) and 1 month(s)
clothing,los angelos,2023,1114.85,1114.85,1114.85,1,834,2 year(s) and 3 month(s)
clothing,los angelos,2023,1155.54,1155.54,1155.54,1,926,2 year(s) and 6 month(s)
clothing,los angelos,2023,1418.7,1418.7,1418.7,1,785,2 year(s) and 1 month(s)
clothing,los angelos,2023,1548.18,1548.18,1548.18,1,767,2 year(s) and 1 month(s)
clothing,los angelos,2023,1858.08,1858.08,1858.08,1,967,2 year(s) and 7 month(s)
clothing,los angelos,2023,1973.4,1973.4,1973.4,1,851,2 year(s) and 4 month(s)
clothing,los angelos,2023,2024.91,2024.91,2024.91,1,1033,2 year(s) and 10 month(s)
clothing,los angelos,2023,2079.97,2079.97,2079.97,1,767,2 year(s) and 1 month(s)
clothing,los angelos,2023,2477.44,2477.44,2477.44,1,812,2 year(s) and 2 month(s)
clothing,los angelos,2023,2837.4,2837.4,2837.4,1,1007,2 year(s) and 9 month(s)
clothing,los angelos,2023,2984.88,2984.88,2984.88,1,943,2 year(s) and 7 month(s)
clothing,los angelos,2024,159.32,159.32,159.32,1,580,1 year(s) and 7 month(s)
clothing,los angelos,2024,796.6,796.6,796.6,1,580,1 year(s) and 7 month(s)
clothing,los angelos,2024,840.54,840.54,840.54,1,625,1 year(s) and 8 month(s)
clothing,los angelos,2024,878.8,878.8,878.8,1,658,1 year(s) and 9 month(s)
clothing,los angelos,2024,1055.2,1055.2,1055.2,1,692,1 year(s) and 10 month(s)
clothing,los angelos,2024,1187.1,1187.1,1187.1,1,658,1 year(s) and 9 month(s)
clothing,los angelos,2024,1214.95,1214.95,1214.95,1,604,1 year(s) and 7 month(s)
clothing,los angelos,2024,1649.4,1649.4,1649.4,1,646,1 year(s) and 9 month(s)
clothing,los angelos,2024,1776.06,1776.06,1776.06,1,662,1 year(s) and 9 month(s)
clothing,los angelos,2024,1973.4,1973.4,1973.4,1,658,1 year(s) and 9 month(s)
clothing,los angelos,2024,2779.53,2779.53,2779.53,1,604,1 year(s) and 7 month(s)
clothing,los angelos,2024,4202.68,4202.68,4202.68,1,604,1 year(s) and 7 month(s)
clothing,philadelphia,2020,61.52,61.52,61.52,1,1827,5 year(s) and 0 month(s)
clothing,philadelphia,2020,346.66,346.66,346.66,1,1885,5 year(s) and 2 month(s)
clothing,philadelphia,2020,373.64,373.64,373.64,1,1857,5 year(s) and 1 month(s)
clothing,philadelphia,2020,475.2,475.2,475.2,1,2000,5 year(s) and 5 month(s)
clothing,philadelphia,2020,477.96,477.96,477.96,1,1822,4 year(s) and 12 month(s)
clothing,philadelphia,2020,503.32,503.32,503.32,1,1942,5 year(s) and 3 month(s)
clothing,philadelphia,2020,674.97,674.97,674.97,1,1857,5 year(s) and 1 month(s)
clothing,philadelphia,2020,746.22,746.22,746.22,1,2022,5 year(s) and 6 month(s)
clothing,philadelphia,2020,792.0,792.0,792.0,1,2004,5 year(s) and 5 month(s)
clothing,philadelphia,2020,824.7,824.7,824.7,1,1942,5 year(s) and 3 month(s)
clothing,philadelphia,2020,894.78,894.78,894.78,1,1886,5 year(s) and 2 month(s)
clothing,philadelphia,2020,1238.54,1238.54,1238.54,1,1886,5 year(s) and 2 month(s)
clothing,philadelphia,2020,1352.99,1352.99,1352.99,1,1887,5 year(s) and 2 month(s)
clothing,philadelphia,2020,1978.5,1978.5,1978.5,1,1854,5 year(s) and 0 month(s)
clothing,philadelphia,2020,2064.24,2064.24,2064.24,1,1944,5 year(s) and 3 month(s)
clothing,philadelphia,2020,2526.3,2526.3,2526.3,1,1929,5 year(s) and 3 month(s)
clothing,philadelphia,2020,2636.39,2636.39,2636.39,1,1844,5 year(s) and 0 month(s)
clothing,philadelphia,2020,3905.76,3905.76,3905.76,1,1978,5 year(s) and 5 month(s)
clothing,philadelphia,2021,27.34,27.34,27.34,1,1593,4 year(s) and 4 month(s)
clothing,philadelphia,2021,53.05,53.05,53.05,1,1580,4 year(s) and 4 month(s)
clothing,philadelphia,2021,61.52,61.52,61.52,1,1442,3 year(s) and 11 month(s)
clothing,philadelphia,2021,66.31,66.31,66.31,1,1442,3 year(s) and 11 month(s)
clothing,philadelphia,2021,166.06,166.06,166.06,1,1517,4 year(s) and 1 month(s)
clothing,philadelphia,2021,253.67,253.67,253.67,1,1453,3 year(s) and 11 month(s)
clothing,philadelphia,2021,359.86,359.86,359.86,1,1469,4 year(s) and 0 month(s)
clothing,philadelphia,2021,475.2,475.2,475.2,1,1779,4 year(s) and 10 month(s)
clothing,philadelphia,2021,477.96,477.96,477.96,1,1497,4 year(s) and 1 month(s)
clothing,philadelphia,2021,493.35,493.35,493.35,1,1751,4 year(s) and 9 month(s)
clothing,philadelphia,2021,509.82,509.82,509.82,1,1433,3 year(s) and 11 month(s)
clothing,philadelphia,2021,830.32,830.32,830.32,1,1433,3 year(s) and 11 month(s)
clothing,philadelphia,2021,838.86,838.86,838.86,1,1634,4 year(s) and 5 month(s)
clothing,philadelphia,2021,976.44,976.44,976.44,1,1612,4 year(s) and 5 month(s)
clothing,philadelphia,2021,1014.74,1014.74,1014.74,1,1602,4 year(s) and 4 month(s)
clothing,philadelphia,2021,1113.34,1113.34,1113.34,1,1433,3 year(s) and 11 month(s)
clothing,philadelphia,2021,1229.22,1229.22,1229.22,1,1613,4 year(s) and 5 month(s)
clothing,philadelphia,2021,1238.72,1238.72,1238.72,1,1499,4 year(s) and 1 month(s)
